datetime,open,high,low,close,volume
2023-03-28 12:00:00,20.086,20.198,19.92,20.024,946931
2023-03-28 13:00:00,20.025,20.067,19.817,19.957,954327
2023-03-28 14:00:00,19.958,20.389,19.92,20.284,1455248
2023-03-28 15:00:00,20.284,20.382,20.189,20.231,940887
2023-03-28 16:00:00,20.23,20.276,20.074,20.149,719494
2023-03-28 17:00:00,20.149,20.224,20.021,20.107,760357
2023-03-28 18:00:00,20.105,20.684,20.068,20.64,1637340
2023-03-28 19:00:00,20.642,20.898,20.448,20.69,1636173
2023-03-28 20:00:00,20.69,20.738,20.436,20.492,859182
2023-03-28 21:00:00,20.493,20.531,20.2,20.262,747642
2023-03-28 22:00:00,20.263,20.429,20.213,20.422,654725
2023-03-28 23:00:00,20.422,20.556,20.397,20.439,577949
2023-03-29 00:00:00,20.44,20.547,20.412,20.533,530289
2023-03-29 01:00:00,20.533,20.855,20.51,20.744,914344
2023-03-29 02:00:00,20.744,20.794,20.662,20.7,367250
2023-03-29 03:00:00,20.701,20.748,20.605,20.646,351620
2023-03-29 04:00:00,20.647,20.948,20.617,20.895,672050
2023-03-29 05:00:00,20.895,20.997,20.827,20.847,606875
2023-03-29 06:00:00,20.848,21.287,20.791,21.156,1579662
2023-03-29 07:00:00,21.156,21.27,21.083,21.202,741111
2023-03-29 08:00:00,21.202,21.55,21.18,21.434,1498565
2023-03-29 09:00:00,21.435,21.504,21.2,21.228,783117
2023-03-29 10:00:00,21.227,21.314,21.136,21.188,642506
2023-03-29 11:00:00,21.189,21.216,21.101,21.205,493746
2023-03-29 12:00:00,21.206,21.235,20.968,21.207,1001474
2023-03-29 13:00:00,21.207,21.267,21.058,21.137,813207
2023-03-29 14:00:00,21.138,21.343,20.97,21.061,1227024
2023-03-29 15:00:00,21.06,21.273,20.939,21.226,757288
2023-03-29 16:00:00,21.226,21.239,20.939,20.967,710160
2023-03-29 17:00:00,20.967,21.182,20.953,21.132,551928
2023-03-29 18:00:00,21.133,21.163,21.051,21.128,470832
2023-03-29 19:00:00,21.129,21.204,21.081,21.17,462442
2023-03-29 20:00:00,21.171,21.219,21.126,21.214,412103
2023-03-29 21:00:00,21.214,21.321,21.081,21.089,461609
2023-03-29 22:00:00,21.088,21.121,20.894,21.105,735609
2023-03-29 23:00:00,21.105,21.202,21.072,21.086,398927
2023-03-30 00:00:00,21.087,21.208,20.71,20.862,1037984
2023-03-30 01:00:00,20.859,20.97,20.702,20.906,675155
2023-03-30 02:00:00,20.906,21.661,20.885,21.385,1928423
2023-03-30 03:00:00,21.385,21.453,20.5,21.043,2272607
2023-03-30 04:00:00,21.042,21.215,20.963,21.163,588829
2023-03-30 05:00:00,21.162,21.191,21.023,21.075,534721
2023-03-30 06:00:00,21.074,21.129,20.883,20.905,537183
2023-03-30 07:00:00,20.906,21.098,20.839,21.007,708585
2023-03-30 08:00:00,21.008,21.045,20.671,20.678,697873
2023-03-30 09:00:00,20.677,20.695,20.5,20.658,1084511
2023-03-30 10:00:00,20.657,20.715,20.554,20.676,618678
2023-03-30 11:00:00,20.676,20.808,20.623,20.666,844019
2023-03-30 12:00:00,20.666,20.692,20.394,20.636,998679
2023-03-30 13:00:00,20.636,20.696,20.547,20.565,787858
2023-03-30 14:00:00,20.564,20.687,20.422,20.631,1071851
