datetime,open,high,low,close,signals,trade_type,position
2023-10-17,23.939,24.566,23.38,23.93,0,hold,100
2023-10-18,23.93,24.433,23.345,23.408,0,hold,100
2023-10-19,23.408,25.963,23.068,24.91,0,hold,100
2023-10-20,24.909,27.52,24.712,27.01,0,hold,100
2023-10-21,27.01,30.368,26.628,29.312,0,hold,100
2023-10-22,29.312,29.995,27.91,29.031,0,hold,100
2023-10-23,29.03,32.929,28.72,31.902,0,hold,100
2023-10-24,31.902,32.622,29.454,30.157,0,hold,100
2023-10-25,30.157,33.96,29.972,32.446,0,hold,100
2023-10-26,32.445,33.288,30.712,32.77,0,hold,100
2023-10-27,32.771,33.422,31.05,31.739,0,hold,100
2023-10-28,31.739,32.532,31.298,31.614,0,hold,100
2023-10-29,31.615,33.2,31.238,32.826,0,hold,100
2023-10-30,32.828,35.409,32.256,34.958,0,hold,100
2023-10-31,34.958,38.619,34.832,38.372,0,hold,100
2023-11-01,38.373,46.8,37.759,41.204,0,hold,100
2023-11-02,41.203,44.559,38.646,40.251,0,hold,100
2023-11-03,40.248,40.315,37.917,39.497,-1,hold,100
2023-11-04,39.497,42.785,39.035,42.422,0,Short,100
2023-11-05,42.422,42.896,40.0,41.167,0,hold,100
2023-11-06,41.167,42.241,39.656,42.181,0,hold,100
2023-11-07,42.18,45.0,40.087,42.976,0,hold,100
2023-11-08,42.976,43.913,42.27,43.142,0,hold,100
2023-11-09,43.138,49.0,40.912,45.305,0,hold,100
2023-11-10,45.305,57.573,45.055,56.679,1,hold,100
2023-11-11,56.679,64.036,53.538,56.409,0,Exit Short,100
2023-11-12,56.409,61.943,54.48,56.315,0,hold,100
2023-11-13,56.315,59.959,51.554,51.662,0,hold,100
2023-11-14,51.661,58.191,51.166,56.849,0,hold,100
2023-11-15,56.842,67.228,56.16,65.506,0,hold,100
2023-11-16,65.506,68.356,56.4,57.842,0,hold,100
2023-11-17,57.842,60.618,54.093,58.49,-1,hold,100
2023-11-18,58.498,59.4,54.7,58.581,0,Short,100
2023-11-19,58.581,62.151,56.576,61.099,0,hold,100
2023-11-20,61.099,61.358,55.961,56.603,0,hold,100
2023-11-21,56.603,57.411,51.2,51.682,0,hold,100
2023-11-22,51.684,58.923,51.479,57.579,0,hold,100
2023-11-23,57.575,59.688,56.121,56.537,1,hold,100
2023-11-24,56.539,58.84,56.196,56.869,0,Exit Short,100
2023-11-25,56.869,59.869,55.63,58.83,0,hold,100
2023-11-26,58.83,59.064,56.1,57.593,0,hold,100
2023-11-27,57.593,58.11,53.412,55.03,-1,hold,100
2023-11-28,55.03,58.67,53.923,58.183,0,Short,100
2023-11-29,58.184,61.799,57.744,59.324,1,hold,100
2023-11-30,59.324,61.762,58.738,59.309,0,Exit Short,100
2023-12-01,59.309,61.937,58.585,59.75,0,hold,100
2023-12-02,59.749,63.954,59.67,63.684,0,hold,100
2023-12-03,63.684,65.622,62.234,63.015,0,hold,100
2023-12-04,63.02,65.34,59.0,61.671,0,hold,100
2023-12-05,61.671,62.661,59.104,61.061,0,hold,100
2023-12-06,61.058,66.797,61.048,61.878,0,hold,100
2023-12-07,61.878,69.546,61.657,67.806,0,hold,100
2023-12-08,67.807,75.46,67.806,74.98,0,hold,100
2023-12-09,74.979,77.879,71.472,72.368,0,hold,100
2023-12-10,72.37,74.961,70.728,74.907,0,hold,100
2023-12-11,74.904,75.024,63.501,70.286,0,hold,100
2023-12-12,70.282,72.479,65.789,68.644,-1,hold,100
2023-12-13,68.635,72.666,63.64,70.668,0,Short,100
2023-12-14,70.669,76.315,67.0,75.751,0,hold,100
2023-12-15,75.751,79.679,72.166,72.552,0,hold,100
2023-12-16,72.558,77.24,71.22,73.737,0,hold,100
2023-12-17,73.736,75.149,70.551,70.902,0,hold,100
2023-12-18,70.902,75.515,66.851,74.429,0,hold,100
2023-12-19,74.428,76.384,71.8,73.04,0,hold,100
2023-12-20,73.03,84.19,72.982,82.243,1,hold,100
2023-12-21,82.243,95.817,81.05,93.927,0,Exit Short,100
2023-12-22,93.929,99.733,90.512,97.962,0,hold,100
2023-12-23,97.962,110.388,92.88,107.965,0,hold,100
2023-12-24,107.966,118.7,107.35,112.571,0,hold,100
2023-12-25,112.572,126.938,108.0,120.942,0,hold,100
2023-12-26,120.947,121.457,102.33,112.543,0,hold,100
2023-12-27,112.533,115.5,104.832,107.095,-1,hold,100
2023-12-28,107.089,109.826,97.32,101.913,0,Short,100
2023-12-29,101.914,110.198,99.514,106.225,0,hold,100
2023-12-30,106.235,107.651,100.698,101.971,0,hold,100
2023-12-31,101.974,105.338,99.635,101.778,0,hold,100
2024-01-01,101.775,110.078,101.53,110.047,1,hold,100
